"member","variable","h","point","lo90","hi90","origin_date"
"combo_crps","gdp_growth",3,0.57193797737094,-0.296978503736082,1.50546007305063,2026-01-01
"combo_crps","gdp_growth",4,0.678929397511375,-0.188663661884459,1.4972854152544,2026-01-01
"combo_crps","gdp_growth",5,0.620573366664414,-0.358392187570458,1.46223487906665,2026-01-01
"combo_crps","gdp_growth",6,0.608821704244087,-0.289535395167534,1.4837917802728,2026-01-01
"combo_crps","gdp_growth",7,0.62759454784953,-0.408824342354469,1.50692663113694,2026-01-01
"combo_crps","gdp_growth",8,0.610541770281191,-0.519808644494019,1.53393347709542,2026-01-01
"combo_crps","gdp_growth",9,0.616657298694325,-0.265192595824696,1.59424209470244,2026-01-01
"combo_crps","gdp_growth",10,0.633647603978501,-0.296955210270059,1.66974909016707,2026-01-01
"combo_crps","gdp_growth",11,0.618851136933226,-0.266022466562572,1.59585739329088,2026-01-01
"combo_crps","gdp_growth",12,0.575686333273132,-0.296386024619044,1.63853891073681,2026-01-01
"combo_crps","cpi_inflation",1,0.792258121258668,0.508003501862206,1.1223328206386,2026-01-01
"combo_crps","cpi_inflation",2,0.788716054231876,0.396747945740417,1.15725989447134,2026-01-01
"combo_crps","cpi_inflation",3,0.768053798789124,0.392457288526989,1.13036048081024,2026-01-01
"combo_crps","cpi_inflation",4,0.771718226067715,0.376680858988137,1.183700524771,2026-01-01
"combo_crps","cpi_inflation",5,0.760986178060946,0.385258484498287,1.19032824425273,2026-01-01
"combo_crps","cpi_inflation",6,0.773185145789018,0.390618289093132,1.14830813313848,2026-01-01
"combo_crps","cpi_inflation",7,0.764483843582792,0.381714655805593,1.17544253212438,2026-01-01
"combo_crps","cpi_inflation",8,0.756372609960923,0.363484441566739,1.18279161050556,2026-01-01
"combo_crps","cpi_inflation",9,0.726129471822963,0.316292078845229,1.19940184505329,2026-01-01
"combo_crps","cpi_inflation",10,0.720149779589089,0.300869335678916,1.3016618071277,2026-01-01
"combo_crps","cpi_inflation",11,0.729617293250176,0.338262816451147,1.1421913672812,2026-01-01
"combo_crps","cpi_inflation",12,0.759175922833947,0.311464806862714,1.23872194939193,2026-01-01
