"run","member","window","h","crps","logdens"
"lp","ucmean","other_origins",5,0.914910368602486,-Inf
"none","ucmean","other_origins",5,0.917831798791843,-Inf
"lp","ucsv","other_origins",5,0.433346541208696,-6.7818942214244
"none","ucsv","other_origins",5,0.433346541208696,-6.7818942214244
"lp","ar4","covid_origins",6,0.848072086804588,-4.62072768992434
"none","ar4","covid_origins",6,0.926284154899858,-5.83975865145904
"lp","combo_bma","covid_origins",6,1.37856855923954,-3.74296386198619
"none","combo_bma","covid_origins",6,1.42364391704779,-4.00291038923025
"lp","combo_equal","covid_origins",6,0.820107696016968,-2.00791743602907
"none","combo_equal","covid_origins",6,0.864594132624991,-2.2236579961872
"lp","combo_logscore","covid_origins",6,1.10149668895513,-2.41644359985056
"none","combo_logscore","covid_origins",6,1.15986257996248,-2.74571580029918
"lp","combo_pool","covid_origins",6,0.950134991835029,-2.35368618235739
"none","combo_pool","covid_origins",6,1.01132010587034,-2.6916933858606
"lp","medium_conj","covid_origins",6,0.971912926313722,-15.2786985647594
"none","medium_conj","covid_origins",6,1.00974994887815,-13.8853891541245
"lp","medium_minn","covid_origins",6,0.962523311897517,-3.82406061664224
"none","medium_minn","covid_origins",6,0.962523311897517,-3.82406061664224
"lp","rw","covid_origins",6,1.23124759918622,-5.43846706211229
"none","rw","covid_origins",6,1.29179995172052,-4.73440630520221
"lp","small_loose_p5","covid_origins",6,0.889995247872286,-7.91705995388993
"none","small_loose_p5","covid_origins",6,1.00787788497888,-8.46551712363951
"lp","small_minn","covid_origins",6,0.862133667975059,-11.3634398049957
"none","small_minn","covid_origins",6,0.937446383503013,-11.2904255331486
"lp","small_ss","covid_origins",6,0.809957360045956,-10.5623201244247
"none","small_ss","covid_origins",6,0.874107514404111,-10.9811845183035
"lp","small_sv","covid_origins",6,0.875980437789889,-3.53631236579724
"none","small_sv","covid_origins",6,0.875980437789889,-3.53631236579724
"lp","small_tight","covid_origins",6,0.923929405034957,-10.0933897154731
"none","small_tight","covid_origins",6,0.992643733298081,-12.106309252746
"lp","ucmean","covid_origins",6,0.914535151377737,-4.06062894738444
"none","ucmean","covid_origins",6,0.94520007629575,-4.56588161449084
"lp","ucsv","covid_origins",6,1.02859491585735,-10.9618501451488
"none","ucsv","covid_origins",6,1.02859491585735,-10.9618501451488
"lp","ar4","other_origins",6,0.530188634943611,-9.86706794292784
"none","ar4","other_origins",6,0.531212126072552,-9.88477861314158
"lp","combo_bma","other_origins",6,0.510844128322505,-1.56315114889703
"none","combo_bma","other_origins",6,0.506464547474408,-1.56053618210402
"lp","combo_equal","other_origins",6,0.488262628652097,-1.09346922848567
"none","combo_equal","other_origins",6,0.492186951600207,-1.11100436282635
"lp","combo_logscore","other_origins",6,0.503668636902853,-1.24143514063923
"none","combo_logscore","other_origins",6,0.503756471214565,-1.24604280439365
"lp","combo_pool","other_origins",6,0.49268333491647,-1.22562770964685
"none","combo_pool","other_origins",6,0.492972824787332,-1.23192874406324
"lp","medium_conj","other_origins",6,0.45013185448689,-Inf
"none","medium_conj","other_origins",6,0.456630189271842,-Inf
"lp","medium_minn","other_origins",6,0.470156811274633,-2.88512125212837
"none","medium_minn","other_origins",6,0.470156811274633,-2.88512125212837
"lp","rw","other_origins",6,0.478539658938667,-1.44020522304203
"none","rw","other_origins",6,0.489133875804724,-1.45430555600939
"lp","small_loose_p5","other_origins",6,0.5630347211341,-9.99904797059314
"none","small_loose_p5","other_origins",6,0.566832663830273,-10.0247100873033
"lp","small_minn","other_origins",6,0.473262568984569,-Inf
"none","small_minn","other_origins",6,0.479428898374782,-Inf
"lp","small_ss","other_origins",6,0.519664480793804,-Inf
"none","small_ss","other_origins",6,0.527518042764096,-Inf
"lp","small_sv","other_origins",6,0.52881645349857,-7.87713790974332
"none","small_sv","other_origins",6,0.52881645349857,-7.87713790974332
"lp","small_tight","other_origins",6,0.46516284245773,-Inf
"none","small_tight","other_origins",6,0.467851400638717,-Inf
"lp","ucmean","other_origins",6,0.953497926224492,-Inf
"none","ucmean","other_origins",6,0.955847745401046,-Inf
"lp","ucsv","other_origins",6,0.462408463725267,-9.8445395546239
"none","ucsv","other_origins",6,0.462408463725267,-9.8445395546239
"lp","ar4","covid_origins",7,0.857994734295459,-5.47190566743817
"none","ar4","covid_origins",7,0.956492620475858,-6.49443148031038
"lp","combo_bma","covid_origins",7,1.43451406626429,-3.39433526633568
"none","combo_bma","covid_origins",7,1.48812710392309,-3.5464586805468
"lp","combo_equal","covid_origins",7,0.851163536277201,-2.03885100425874
"none","combo_equal","covid_origins",7,0.905072152360973,-2.25158833916186
"lp","combo_logscore","covid_origins",7,1.15041639338243,-2.53302700689758
"none","combo_logscore","covid_origins",7,1.21795265058653,-2.83583969649265
"lp","combo_pool","covid_origins",7,0.998731996314967,-2.43119407400376
"none","combo_pool","covid_origins",7,1.06827259930734,-2.75187239723042
"lp","medium_conj","covid_origins",7,1.01709229749896,-14.2925273938134
"none","medium_conj","covid_origins",7,1.07136616084737,-14.6178850271935
"lp","medium_minn","covid_origins",7,1.06694569716596,-3.85563075656506
"none","medium_minn","covid_origins",7,1.06694569716596,-3.85563075656506
"lp","rw","covid_origins",7,1.30528638617785,-4.62610016498098
"none","rw","covid_origins",7,1.38625326494657,-4.72095210945786
"lp","small_loose_p5","covid_origins",7,0.918917997888652,-8.71701473552319
"none","small_loose_p5","covid_origins",7,1.07350246292569,-8.50788210555632
"lp","small_minn","covid_origins",7,0.895245168662352,-11.3440760873144
"none","small_minn","covid_origins",7,0.986975171665966,-11.1212684108359
"lp","small_ss","covid_origins",7,0.830884069758881,-11.199972515605
"none","small_ss","covid_origins",7,0.907926639655362,-10.423010753138
"lp","small_sv","covid_origins",7,0.944002668909268,-3.20834544962163
"none","small_sv","covid_origins",7,0.944002668909268,-3.20834544962163
"lp","small_tight","covid_origins",7,0.970040952253888,-13.0477362256864
"none","small_tight","covid_origins",7,1.0535355203074,-14.2712239075374
"lp","ucmean","covid_origins",7,0.840998856912609,-3.77502243967536
"none","ucmean","covid_origins",7,0.870365312262636,-4.93162821588235
"lp","ucsv","covid_origins",7,1.10038500767531,-13.0613556341045
"none","ucsv","covid_origins",7,1.10038500767531,-13.0613556341045
"lp","ar4","other_origins",7,0.613303066310802,-12.8421159750845
"none","ar4","other_origins",7,0.613994536489411,-12.84956617252
"lp","combo_bma","other_origins",7,0.568530996403337,-1.58847078788805
"none","combo_bma","other_origins",7,0.570775607195025,-1.5913558190197
"lp","combo_equal","other_origins",7,0.563911138160242,-1.28256601062738
"none","combo_equal","other_origins",7,0.56656578713392,-1.29220039761495
"lp","combo_logscore","other_origins",7,0.57055126169197,-1.39348168889822
