"member","variable","measure","h","logdens","crps","rmse"
"combo_crps","cpi_inflation","ye",2,-0.435956417935715,0.257862834477755,0.548108155719141
"combo_crps","cpi_inflation","ye",3,-0.853398557981868,0.399999010070093,0.863281944944173
"combo_crps","cpi_inflation","ye",4,-1.17370166092357,0.552804569859024,1.18843428095765
"combo_crps","cpi_inflation","ye",5,-1.30793829388223,0.633809782306155,1.3376951872203
"combo_crps","cpi_inflation","ye",6,-1.4298667709622,0.684681097024484,1.4401315895587
"combo_crps","cpi_inflation","ye",7,-1.58010032971397,0.749818268397701,1.53207213871022
"combo_crps","cpi_inflation","ye",8,-1.71144248357066,0.802450522191641,1.60894060500315
"combo_crps","cpi_inflation","ye",9,-1.85575937402583,0.845079336009,1.67674080543694
"combo_crps","gdp_growth","cum",10,-2.44476004216208,1.51762047009447,3.0791113277489
"combo_crps","gdp_growth","cum",11,-2.47437260684083,1.54731841277806,3.15998209898162
"combo_crps","gdp_growth","cum",12,-2.48814793320711,1.54310014437881,3.19058308773616
"combo_crps","gdp_growth","cum",2,-1.96901978868829,0.706436104452441,1.75668029560582
"combo_crps","gdp_growth","cum",3,-1.73538981389529,0.837800861626968,2.00461191814555
"combo_crps","gdp_growth","cum",4,-1.84820250686061,0.946162885853281,2.11370561442869
"combo_crps","gdp_growth","cum",5,-1.97768386009787,1.04196343979088,2.16677615642701
"combo_crps","gdp_growth","cum",6,-2.12369259085634,1.18496270282763,2.50840489980284
"combo_crps","gdp_growth","cum",7,-2.23270633490866,1.31326088529152,2.70428637289383
"combo_crps","gdp_growth","cum",8,-2.30668910301114,1.3742786234889,2.88535912561075
"combo_crps","gdp_growth","cum",9,-2.39277839821277,1.45132614597384,2.98745357353807
"combo_crps","gdp_growth","q",1,-4.62463509841361,0.468269416540301,1.26910272906357
"combo_crps","gdp_growth","q",10,-1.29677300988443,0.543012554933514,1.36336133565374
"combo_crps","gdp_growth","q",11,-1.26809659926257,0.544243825409319,1.38269892234556
"combo_crps","gdp_growth","q",12,-1.26853413738477,0.549969314224946,1.38644568204145
"combo_crps","gdp_growth","q",2,-3.01088960780071,0.485794705511267,1.28997490597995
"combo_crps","gdp_growth","q",3,-3.00594511434787,0.498879935253411,1.29942560053793
"combo_crps","gdp_growth","q",4,-2.00133943672226,0.501933087285866,1.29459908071173
"combo_crps","gdp_growth","q",5,-1.74891918297463,0.507046723186635,1.29615024298176
"combo_crps","gdp_growth","q",6,-1.30978458309512,0.518759967397705,1.33504590579718
"combo_crps","gdp_growth","q",7,-1.38961930973584,0.531265283525443,1.33829473267156
"combo_crps","gdp_growth","q",8,-1.3728472544476,0.531778558789694,1.34980376618102
"combo_crps","gdp_growth","q",9,-1.29478555513804,0.532092831704706,1.3537273588473
