"scheme","variable","bucket","origin","member","weight"
"equal","gdp_growth","far",58,"small_tight",0.0833333333333333
"equal","gdp_growth","far",58,"small_unres",0.0833333333333333
"equal","gdp_growth","far",58,"rw",0.0833333333333333
"equal","gdp_growth","far",58,"ar4",0.0833333333333333
"equal","gdp_growth","far",58,"ucsv",0.0833333333333333
"equal","gdp_growth","far",58,"ucmean",0.0833333333333333
"equal","gdp_growth","near",59,"small_minn",0.0833333333333333
"equal","gdp_growth","near",59,"small_ss",0.0833333333333333
"equal","gdp_growth","near",59,"small_sv",0.0833333333333333
"equal","gdp_growth","near",59,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",59,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",59,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",59,"small_tight",0.0833333333333333
"equal","gdp_growth","near",59,"small_unres",0.0833333333333333
"equal","gdp_growth","near",59,"rw",0.0833333333333333
"equal","gdp_growth","near",59,"ar4",0.0833333333333333
"equal","gdp_growth","near",59,"ucsv",0.0833333333333333
"equal","gdp_growth","near",59,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",59,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",59,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",59,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",59,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",59,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",59,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",59,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",59,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",59,"rw",0.0833333333333333
"equal","gdp_growth","medium",59,"ar4",0.0833333333333333
"equal","gdp_growth","medium",59,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",59,"ucmean",0.0833333333333333
"equal","gdp_growth","far",59,"small_minn",0.0833333333333333
"equal","gdp_growth","far",59,"small_ss",0.0833333333333333
"equal","gdp_growth","far",59,"small_sv",0.0833333333333333
"equal","gdp_growth","far",59,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",59,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",59,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",59,"small_tight",0.0833333333333333
"equal","gdp_growth","far",59,"small_unres",0.0833333333333333
"equal","gdp_growth","far",59,"rw",0.0833333333333333
"equal","gdp_growth","far",59,"ar4",0.0833333333333333
"equal","gdp_growth","far",59,"ucsv",0.0833333333333333
"equal","gdp_growth","far",59,"ucmean",0.0833333333333333
"equal","gdp_growth","near",60,"small_minn",0.0833333333333333
"equal","gdp_growth","near",60,"small_ss",0.0833333333333333
"equal","gdp_growth","near",60,"small_sv",0.0833333333333333
"equal","gdp_growth","near",60,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",60,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",60,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",60,"small_tight",0.0833333333333333
"equal","gdp_growth","near",60,"small_unres",0.0833333333333333
"equal","gdp_growth","near",60,"rw",0.0833333333333333
"equal","gdp_growth","near",60,"ar4",0.0833333333333333
"equal","gdp_growth","near",60,"ucsv",0.0833333333333333
"equal","gdp_growth","near",60,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",60,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",60,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",60,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",60,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",60,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",60,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",60,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",60,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",60,"rw",0.0833333333333333
"equal","gdp_growth","medium",60,"ar4",0.0833333333333333
"equal","gdp_growth","medium",60,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",60,"ucmean",0.0833333333333333
"equal","gdp_growth","far",60,"small_minn",0.0833333333333333
"equal","gdp_growth","far",60,"small_ss",0.0833333333333333
"equal","gdp_growth","far",60,"small_sv",0.0833333333333333
"equal","gdp_growth","far",60,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",60,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",60,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",60,"small_tight",0.0833333333333333
"equal","gdp_growth","far",60,"small_unres",0.0833333333333333
"equal","gdp_growth","far",60,"rw",0.0833333333333333
"equal","gdp_growth","far",60,"ar4",0.0833333333333333
"equal","gdp_growth","far",60,"ucsv",0.0833333333333333
"equal","gdp_growth","far",60,"ucmean",0.0833333333333333
"equal","gdp_growth","near",61,"small_minn",0.0833333333333333
"equal","gdp_growth","near",61,"small_ss",0.0833333333333333
"equal","gdp_growth","near",61,"small_sv",0.0833333333333333
"equal","gdp_growth","near",61,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",61,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",61,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",61,"small_tight",0.0833333333333333
"equal","gdp_growth","near",61,"small_unres",0.0833333333333333
"equal","gdp_growth","near",61,"rw",0.0833333333333333
"equal","gdp_growth","near",61,"ar4",0.0833333333333333
"equal","gdp_growth","near",61,"ucsv",0.0833333333333333
"equal","gdp_growth","near",61,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",61,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",61,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",61,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",61,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",61,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",61,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",61,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",61,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",61,"rw",0.0833333333333333
"equal","gdp_growth","medium",61,"ar4",0.0833333333333333
"equal","gdp_growth","medium",61,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",61,"ucmean",0.0833333333333333
"equal","gdp_growth","far",61,"small_minn",0.0833333333333333
"equal","gdp_growth","far",61,"small_ss",0.0833333333333333
"equal","gdp_growth","far",61,"small_sv",0.0833333333333333
"equal","gdp_growth","far",61,"small_loose_p5",0.0833333333333333
